Issue Type,Issue Key,Summary,Description,Acceptance Criteria,Epic Key,Epic Name,Priority,Story Points,Sprint,Release,Component,Labels,Depends On,Blocks
Story,LS-057,Import preview API,"As an engineer, I want to see what was detected before committing, so that I catch a wrong sheet before spending twenty minutes.","- Returns detected sheets, inferred header row, column names and the first N rows.
- Preview runs without persisting raw records or consuming AI tokens.
- Detected encoding and delimiter are reported for CSV files.
- Preview response is fast enough to feel instant on a typical customer file.",EPIC-05,Ingestion Pipeline,P0,3,S4,R1,Ingestion,ux,LS-052,LS-065 LS-244
Story,LS-058,Skipped-row registry with reasons and export,"As a maintenance manager, I want to know exactly what was not imported and why, so that I can trust the totals I am shown.","- Every skipped row is retained with a machine-readable reason code and human-readable explanation.
- Import summary reports detected, usable, skipped and needs-review counts that reconcile to the total.
- Skipped rows are exportable as CSV for the customer to review offline.
- Skipped rows can be reprocessed after the underlying cause is fixed.",EPIC-05,Ingestion Pipeline,P0,3,S4,R1,Ingestion,data-quality trust,LS-055,
Story,LS-060,"Pluggable LlmClient port with retries, timeouts and a circuit breaker","As an engineer, I want the model provider behind a port, so that an outage degrades the product instead of breaking it.","- LlmClient interface with an Anthropic adapter as the default implementation.
- Configurable timeout, exponential-backoff retry and a circuit breaker with a half-open probe.
- Token usage, latency, model and cost are recorded for every call.
- A deterministic fake implementation backs tests so CI never calls a live provider.",EPIC-06,Generative Extraction & Normalisation,P0,5,S4,R1,AI,llm platform,LS-010,LS-061 LS-091 LS-110 LS-115 LS-120 LS-170 LS-212
Story,LS-061,Schema-constrained extraction with per-field confidence,"As the system, I need messy shorthand turned into structured fields with honest confidence, so that routing to review is based on real signal.","- Extraction returns a strict JSON schema: date, machineText, failureMode, action, parts, downtimeHours, technician, kind.
- Every field carries its own confidence score; the model is instructed to return null rather than guess.
- Failure mode and part values are constrained to the plant's taxonomy where a confident match exists.
- Schema violations are rejected and retried once before the row is marked FAILED.
- Golden-set extraction F1 meets the threshold defined in LS-140.",EPIC-06,Generative Extraction & Normalisation,P0,8,S4,R1,AI,llm extraction,LS-060 LS-052,LS-062 LS-063 LS-064 LS-065 LS-067 LS-174
Story,LS-062,Batched extraction with prompt caching on the static prefix,"As the business, I want extraction cost per 1,000 rows to be predictable and low, so that unit economics survive a large historical import.","- Rows batched at a configurable size (default approximately 20) per model call.
- The static prefix — schema, shorthand dictionary and plant context — is prompt-cached.
- Measured cost per 1,000 rows is recorded and reported per import.
- A partial batch failure retries only the failed rows, never the whole batch.",EPIC-06,Generative Extraction & Normalisation,P0,5,S4,R1,AI,llm cost,LS-061,
Story,LS-063,Hinglish and shorthand dictionary shared by extraction and search,"As a technician writing 'brng' and '2 ghante', I want the system to understand me, so that my notes are as valuable as a typed report.","- Dictionary covers shorthand (brng, m/c, algnmnt), Hinglish units ('2 ghante'), and Devanagari and Marathi equivalents.
- The same dictionary is applied at extraction time and at search-expansion time so behaviour matches.
- Per-plant entries can be added without a code deployment.
- New entries are versioned and their effect is measurable on the extraction golden set.",EPIC-06,Generative Extraction & Normalisation,P0,5,S4,R1,AI,hinglish moat,LS-061,LS-093
Story,LS-070,"MachineResolverService cascade: exact, alias, fuzzy, semantic","As the system, I need 'Conv Motor-3' to become a real asset id, so that messy text becomes analysable data.","- Four-stage cascade: exact match, known alias, normalised-token fuzzy match, embedding similarity.
- Each stage returns candidates with calibrated confidence; the cascade stops at a confident match.
- The identical resolver is used by ingestion, search and the assistant — one code path, no divergence.
- Resolution is plant-scoped: a machine in another tenant is never a candidate.
- Precision@1 on the golden set meets the threshold in LS-141.",EPIC-07,Entity Resolution & Alias Learning,P0,8,S4,R1,AI,resolution moat,LS-032,LS-064 LS-071 LS-075 LS-076 LS-120 LS-174
Story,LS-071,Machine alias store with provenance and confidence,"As the system, I want learned aliases persisted with their origin, so that a bad alias can be traced and reversed.","- Alias records text, machine, confidence, source (IMPORT, VALIDATION, MANUAL) and creating actor.
- Alias text is unique per plant; a conflicting alias returns 409 with the existing mapping.
- Aliases are listable, editable and deletable by a plant admin, with every change audited.
- Deleting an alias does not alter records already resolved through it.",EPIC-07,Entity Resolution & Alias Learning,P0,3,S4,R1,AI,resolution,LS-070,LS-072 LS-116
Story,LS-064,Confidence calibration and per-plant auto-approval routing,"As a maintenance manager, I want only genuinely uncertain rows in my review queue, so that validation is worth my engineers' time.","- Overall confidence combines model self-score, resolver score and field completeness by a documented formula.
- Rows at or above the plant threshold auto-approve; the rest create validation items.
- Calibration is measured against the golden set: reported confidence tracks observed accuracy.
- Auto-approval rate is recorded per import and per plant as a first-class product metric.",EPIC-06,Generative Extraction & Normalisation,P0,5,S5,R1,AI,confidence routing,LS-061 LS-070,LS-066 LS-080 LS-147
Story,LS-066,Extraction self-critique pass on mid-confidence rows,"As a reviewer, I want the queue to contain sharper questions, so that I spend my time on genuine ambiguity rather than on obvious rows.","- Rows in the configurable mid-confidence band get a second pass that re-reads raw text against the extraction.
- The pass either raises confidence with a stated justification or names the specific ambiguous field.
- Reviewer-facing output shows which field is uncertain and why.
- Measured effect on reviewer time and on false auto-approvals is reported; the feature is reverted if accuracy drops.",EPIC-06,Generative Extraction & Normalisation,P1,5,S5,R1,AI,agent quality,LS-064,
Story,LS-067,"Extraction failure handling, dead-letter and retry API","As an engineer, I want failed rows visible and retryable, so that a transient provider error does not silently lose data.","- Rows failing twice are marked FAILED with the error reason retained.
- Failed rows are listable per import and retryable individually or in bulk.
- Retry reuses the original raw text; the raw record is never re-parsed or altered.
- Persistent failure rate is a monitored metric with an alert threshold.",EPIC-06,Generative Extraction & Normalisation,P0,3,S5,R1,AI,reliability,LS-061 LS-055,
Story,LS-072,Alias learning from validation corrections,"As a reviewer, I want my correction to teach the system permanently, so that I never answer the same question twice.","- Correcting a machine during validation creates or strengthens an alias automatically.
- The learned alias applies immediately to subsequent resolution without a restart.
- Learning is attributable: the alias records which validation action produced it.
- Measured effect: resolver hit rate on the next import of the same customer's data improves.",EPIC-07,Entity Resolution & Alias Learning,P0,5,S5,R1,AI,resolution learning,LS-071 LS-082,LS-073
Story,LS-073,Re-resolution of pending rows when an alias is created,"As a reviewer, I want one mapping to clear every matching row everywhere, so that the queue shrinks faster than I work.","- Creating an alias publishes an event that re-resolves matching unresolved rows across all pending imports.
- Re-resolution is asynchronous, idempotent and reports how many rows it cleared.
- Already-approved records are not retroactively altered without an explicit, audited action.
- Re-resolution respects plant scope and never crosses tenants.",EPIC-07,Entity Resolution & Alias Learning,P0,5,S5,R1,AI,resolution learning,LS-072 LS-045,LS-083
Story,LS-074,Part and failure-mode resolution with synonym learning,"As an analyst, I want '6205ZZ', '6205 ZZ' and 'bearing 6205' treated as one part, so that consumption analysis is not fragmented.","- Part resolution uses code normalisation, synonyms and fuzzy matching with confidence.
- Failure-mode resolution maps free text to the canonical taxonomy entry.
- Corrections during validation create synonyms, mirroring machine alias learning.
- Unresolvable parts are retained as free text on the record and reported, never silently dropped.",EPIC-07,Entity Resolution & Alias Learning,P1,5,S5,R1,AI,resolution parts,LS-034 LS-033,LS-104
Story,LS-075,Resolver explain endpoint,"As an engineer debugging a bad mapping, I want to see why the resolver chose what it chose, so that I can fix the cause rather than the symptom.","- Endpoint accepts free text and returns ranked candidates with per-stage scores.
- Response names which cascade stage produced each candidate.
- Restricted to ENGINEER and above; results are plant-scoped.
- Used by the support runbook for resolution complaints.",EPIC-07,Entity Resolution & Alias Learning,P1,3,S5,R1,AI,resolution devex,LS-070,
Story,LS-080,Validation item model and queue API,"As a reviewer, I want a prioritised queue of uncertain rows, so that I work through the highest-impact ambiguity first.","- validation_items created for every row below the plant confidence threshold.
- Queue filterable by import, machine, uncertainty type and age; sortable by impact.
- Each item exposes the raw text, the extraction, the per-field confidence and the resolver candidates.
- Items carry status OPEN or RESOLVED with the resolving action recorded.",EPIC-08,Human-in-the-Loop Validation Workbench,P0,5,S5,R1,Product,validation,LS-064,LS-081
Story,LS-081,Side-by-side raw-versus-extracted review payload,"As a reviewer, I want the original text next to the extraction, so that I can judge correctness in seconds without leaving the screen.","- Payload returns verbatim raw text, the source file, sheet and row, and each extracted field.
- Fields below the confidence threshold are explicitly flagged for attention.
- For OCR-sourced rows, the original image region is returned alongside the text.
- The payload is sufficient to render the review screen without any follow-up request.",EPIC-08,Human-in-the-Loop Validation Workbench,P0,3,S5,R1,Product,validation api,LS-080,LS-082
Story,LS-082,"Approve, edit-and-approve and reject with conflict handling","As a reviewer, I want to act on an item safely while colleagues work the same queue, so that two people never silently overwrite each other.","- Three actions supported: approve as-is, edit then approve, and reject with a reason.
- Optimistic locking returns 409 when another reviewer already resolved the item.
- Approval creates the maintenance record with full provenance; rejection excludes the row from index and statistics.
- Every action writes a validation_actions audit row naming the reviewer.",EPIC-08,Human-in-the-Loop Validation Workbench,P0,5,S5,R1,Product,validation,LS-081,LS-072 LS-083 LS-084 LS-085 LS-087
Story,LS-083,Alias-group bulk mapping,"As a reviewer facing 37 rows that all say 'Conv Motor-3', I want to map them in one action, so that validation takes minutes rather than hours.","- Unresolved machine texts are grouped and the affected row count is shown per group.
- One mapping action resolves every row in the group, creates the alias and triggers re-resolution elsewhere.
- A preview shows exactly which rows will be affected before the action is committed.
- The whole operation is transactional and produces a single audited action with the row count.
- Demonstrated on a group of at least 30 records as part of the pilot acceptance run.",EPIC-08,Human-in-the-Loop Validation Workbench,P0,8,S5,R1,Product,validation differentiator,LS-082 LS-073,LS-076 LS-245
Story,LS-140,Extraction golden set of 200 hand-labelled messy rows,"As an engineer, I want a realistic labelled benchmark, so that extraction quality is measured rather than assumed.","- 200 rows drawn from real design-partner files, anonymised, covering Hinglish, shorthand, Devanagari and OCR output.
- Every field hand-labelled with the correct value, including explicit nulls.
- Difficulty is stratified so the set is not dominated by easy rows.
- Stored under version control with a documented licence and anonymisation procedure.
- Baseline field F1 and auto-approval rate recorded as the reference point.",EPIC-14,AI Evaluation & Quality Harness,P0,8,S5,R1,AI-Quality,eval moat,LS-002,LS-143 LS-145
Story,LS-141,Resolution golden set of 150 machine-text cases,"As an engineer, I want resolver accuracy measured, so that a cascade change cannot quietly break machine matching.","- 150 real machine texts with the correct target machine labelled, including deliberately ambiguous cases.
- Covers abbreviations, Hinglish, Devanagari, typos and genuinely unresolvable text.
- Unresolvable cases are labelled as such so over-eager matching is penalised.
- Baseline precision@1 and recall recorded.",EPIC-14,AI Evaluation & Quality Harness,P0,5,S5,R1,AI-Quality,eval,LS-002,LS-145
Story,LS-244,Import wizard with live pipeline progress,"As an engineer importing three years of history, I want to see what is happening, so that a long run feels controlled rather than frozen.","- Drag-and-drop upload with client-side type and size validation before transfer.
- Preview step shows detected sheets, headers and sample rows before commitment.
- Column mapping step presents an auto-suggested mapping with per-column confidence and allows editing; the Intake Agent's proposal (LS-065) populates this same step once it lands.
- Live progress through each pipeline stage with counts for detected, usable, skipped and needs-review.
- Completion summary links directly to the validation queue and to the skipped-row export.",EPIC-24,Frontend Product Application,P0,8,S5,R1,Frontend,import,LS-241 LS-055 LS-057,
Story,LS-084,Bulk actions with partial-success reporting,"As a reviewer, I want to approve a filtered set at once and see exactly what failed, so that bulk work is safe rather than reckless.","- Bulk approve and bulk reject operate over a selection or a filter.
- The response reports per-item success or failure with reasons; one failure never aborts the batch.
- Bulk operations are capped at a configured size and run asynchronously above a threshold, reporting progress.
- Each affected item still produces its own audit row.",EPIC-08,Human-in-the-Loop Validation Workbench,P1,5,S6,R2,Product,validation,LS-082,
Story,LS-085,Validation action audit trail,"As a plant admin, I want to see who approved what, so that data quality questions have a definitive answer.","- Every validation action records actor, timestamp, before and after values, and reason where applicable.
- The trail is queryable by reviewer, date range and import.
- Audit rows are append-only and immutable.
- A record's detail view can show the validation decision that created it.",EPIC-08,Human-in-the-Loop Validation Workbench,P0,3,S6,R2,Product,validation audit,LS-082,LS-086
Story,LS-086,Queue burn-down and reviewer-throughput metrics,"As a maintenance manager, I want to see how fast the queue is clearing, so that I know whether validation is a one-week task or a permanent tax.","- Metrics for queue depth over time, items resolved per reviewer-hour and median time-to-resolution.
- Corrections per 100 records tracked as a data-quality indicator.
- Metrics are exposed per plant and feed the pilot scorecard from LS-008.
- Available through the API for the dashboard and for the per-tenant scorecard in LS-147.",EPIC-08,Human-in-the-Loop Validation Workbench,P1,3,S6,R2,Product,validation metrics,LS-085,LS-147
Story,LS-087,Keyboard-first reviewer workflow,"As a reviewer clearing 200 items, I want to work without the mouse, so that the queue takes twenty minutes instead of two hours.","- Keyboard shortcuts for approve, reject, edit, next and previous.
- Focus advances automatically to the next item after an action.
- An undo window allows reversing the last action without reopening the item.
- Shortcuts are discoverable through an in-app help overlay.",EPIC-08,Human-in-the-Loop Validation Workbench,P2,3,S6,R2,Product,validation ux,LS-082,
Story,LS-090,Full-text and trigram indexes over record text,"As an engineer, I want fast keyword search over every record, so that finding a past failure takes seconds.","- PostgreSQL tsvector column maintained on insert and update, with a GIN index.
- pg_trgm indexes support typo-tolerant matching on machine and part text.
- Search is plant-scoped at the query level and verified by the cross-tenant suite.
- Query latency stays within budget on a one-million-record corpus.",EPIC-09,Hybrid Search & Retrieval,P0,5,S6,R2,AI,search,LS-040,LS-091 LS-092 LS-142
Story,LS-091,Embedding client port and record embedding backfill job,"As the system, I need semantic vectors for every record, so that meaning-based retrieval works across languages.","- Pluggable EmbeddingClient port; the model name and dimension are recorded per row.
- pgvector column with an appropriate index; dimension mismatches are rejected at write time.
- An idempotent, resumable backfill job embeds existing records and reports progress.
- New and corrected records are embedded automatically via domain events.",EPIC-09,Hybrid Search & Retrieval,P0,5,S6,R2,AI,search embeddings,LS-090 LS-060,LS-092 LS-181
Story,LS-092,Hybrid retrieval with reciprocal-rank fusion,"As an engineer, I want the best of keyword and semantic search, so that both exact part codes and vague descriptions find the right records.","- Full-text, trigram and vector result sets are fused by reciprocal rank fusion with documented weights.
- Filters for machine, line, date range, failure mode and part apply before fusion.
- Result count k is clamped server-side regardless of the requested value.
- nDCG@10 on the golden query set meets the threshold in LS-142.",EPIC-09,Hybrid Search & Retrieval,P0,8,S6,R2,AI,search,LS-090 LS-091,LS-093 LS-094 LS-095 LS-096 LS-121 LS-182 LS-226
Story,LS-093,Query expansion using the shorthand dictionary,"As a technician searching 'brng gaya', I want bearing records, so that I do not have to know the formal term.","- Queries are expanded with shorthand, Hinglish, Hindi and Marathi equivalents before matching.
- The same dictionary used at extraction time is used here, so behaviour is consistent.
- Expansion is bounded so that a short query does not explode into an unselective one.
- Benchmark queries such as brng, BRG, bearng and 'bearing gaya' all retrieve the same core result set.",EPIC-09,Hybrid Search & Retrieval,P0,5,S6,R2,AI,search hinglish,LS-092 LS-063,
Story,LS-094,Why-this-matched explanation payload,"As an engineer, I want to know why a result appeared, so that I trust the search rather than second-guessing it.","- Each result carries a why array naming the matched terms, expansions and retrieval strategies.
- Matched spans are identified so the UI can highlight them.
- Semantic-only matches are labelled as such and distinguished from keyword hits.
- The explanation is part of the API contract and covered by tests.",EPIC-09,Hybrid Search & Retrieval,P1,3,S6,R2,AI,search trust,LS-092,
Story,LS-095,Degraded search mode when the embedding provider is unavailable,"As a user, I want search to keep working during a provider outage, so that the product never goes fully dark.","- Embedding failure falls back to full-text plus trigram retrieval automatically.
- The response indicates degraded mode so the UI can show an honest notice.
- Newly created records queue for embedding and are backfilled when the provider returns.
- Verified by a staging test that disables the embedding provider.",EPIC-09,Hybrid Search & Retrieval,P0,3,S6,R2,AI,search reliability,LS-092,
Story,LS-096,Retrieval quality benchmark wired into CI,"As an engineer changing retrieval weights, I want immediate feedback, so that a tuning change cannot silently make search worse.","- Benchmark runs the golden query set and reports nDCG@10, recall@20 and MRR.
- Results are compared against the stored baseline; a regression beyond tolerance fails the build.
- The report names which queries regressed and by how much.
- Fusion weights are configuration, not hard-coded constants, so tuning does not require a release.",EPIC-09,Hybrid Search & Retrieval,P0,5,S6,R2,AI,search quality,LS-092 LS-142,
Story,LS-100,"Downtime, breakdown-count and record-count aggregates","As a maintenance manager, I want reliable totals, so that the number in a chat answer and the number on the dashboard are always the same.","- Aggregates computed in SQL, filterable by plant, line, machine, failure mode, part and date range.
- Records with null downtime are excluded from sums and counted in coverage, never treated as zero.
- The same service backs the dashboard, the API and the assistant tools — one implementation only.
- Results are deterministic: identical inputs produce identical outputs across runs.",EPIC-10,Deterministic Analytics & KPI Engine,P0,5,S6,R2,Domain,analytics trust,LS-042,LS-101 LS-102 LS-103 LS-104 LS-105 LS-121 LS-150 LS-151 LS-152 LS-154
Story,LS-101,"MTTR, MTBF and availability calculators with documented formulas","As a reliability engineer, I want standard KPIs computed the way I would compute them, so that I can defend the numbers to my plant head.","- MTTR, MTBF and availability implemented with the exact formula and assumptions documented in-code and in user-facing help.
- Operating hours come from plant settings, not from a hard-coded constant.
- Insufficient data returns an explicit unavailable result rather than a misleading zero.
- Unit tests assert exact expected values against the reference fixture.",EPIC-10,Deterministic Analytics & KPI Engine,P0,5,S6,R2,Domain,analytics kpi,LS-100,LS-106
Story,LS-142,Retrieval golden set of 60 queries with relevance judgements,"As an engineer tuning search, I want graded relevance data, so that fusion-weight changes are evaluated rather than guessed.","- 60 realistic queries spanning shorthand, natural language, English, Hindi and Marathi.
- Graded relevance judgements per query over a fixed corpus.
- Includes queries expected to return nothing, to catch false-positive retrieval.
- Baseline nDCG@10, recall@20 and MRR recorded.",EPIC-14,AI Evaluation & Quality Harness,P0,5,S6,R2,AI-Quality,eval,LS-090,LS-096 LS-145
Story,LS-245,Validation workbench UI,"As a reviewer, I want an efficient review screen, so that clearing the queue is a short focused task.","- Split-screen showing raw source beside the extraction, with low-confidence fields highlighted.
- Alias-group bulk mapping shows the affected row count and a preview before committing.
- Keyboard shortcuts per LS-087 with an in-app help overlay.
- Conflict when another reviewer resolved an item is handled gracefully, never as a raw error.",EPIC-24,Frontend Product Application,P0,8,S6,R2,Frontend,validation,LS-241 LS-083,
Story,LS-065,Intake Agent: file profiling and column-mapping proposal,"As an engineer, I want the system to check the mapping before processing 2,000 rows, so that a wrong column does not waste twenty minutes and real money.","- Agent profiles headers, data types, null density, sample values and merged-cell structure.
- Proposes a column mapping with per-column confidence and a plain-language rationale.
- Sample-extracts a stratified sample of roughly 25 rows and self-scores fill rate, resolver hit rate and date parse rate.
- If projected auto-approval falls below the plant threshold, the run stops and raises a mapping proposal citing the specific evidence.
- The engineer can accept, edit or override the proposal; the decision is audited.",EPIC-06,Generative Extraction & Normalisation,P1,8,S7,R2,AI,agent intake,LS-057 LS-061 LS-190,LS-232
Story,LS-102,Failure Pareto and trend series,"As a maintenance manager, I want to see which failures dominate and whether they are getting better, so that I know where to spend money.","- Pareto by failure mode with count, downtime and cumulative percentage.
- Trend series bucketable by week, month and quarter with explicit handling of empty buckets.
- Scopable to plant, line or machine.
- Coverage is reported alongside every series so sparse data is visible, not hidden.",EPIC-10,Deterministic Analytics & KPI Engine,P0,5,S7,R2,Domain,analytics,LS-100,LS-106 LS-163
Story,LS-103,Top machines and top lines ranking,"As a plant head, I want to know my worst assets by a chosen metric, so that improvement effort goes where the downtime actually is.","- Ranking by downtime, breakdown count or MTTR, with configurable k.
- Ties broken deterministically so repeated calls return a stable order.
- Each entry carries the underlying counts so the ranking is auditable.
- Exposed as an assistant tool with server-side argument clamping.",EPIC-10,Deterministic Analytics & KPI Engine,P0,3,S7,R2,Domain,analytics,LS-100,
Story,LS-104,"Part usage, share and replacement-interval statistics","As a maintenance manager, I want to see where a part is being consumed, so that a concentration on one line becomes visible.","- Per-part usage count, machine distribution, percentage share and mean replacement interval.
- Scopable by date range, line and machine.
- Answers the benchmark question about where a given bearing has been used, with the expected machine distribution.
- Backs both the parts screen and the assistant part_usage tool.",EPIC-10,Deterministic Analytics & KPI Engine,P0,5,S7,R2,Domain,analytics parts,LS-100 LS-074,LS-153 LS-165
Story,LS-105,Coverage reporting on every statistic,"As an engineer, I want to know how much of the data a number is based on, so that I do not over-trust a statistic drawn from three records.","- Every aggregate returns a coverage object: records considered, records with a valid value, and the percentage.
- Coverage is rendered in assistant CALCULATED blocks, for example '7 records, 7/7 valid downtime'.
- Statistics below a configured coverage floor are labelled low-confidence in the response.
- Coverage is part of the API contract and is covered by tests.",EPIC-10,Deterministic Analytics & KPI Engine,P0,3,S7,R2,Domain,analytics trust,LS-100,
Story,LS-106,Dashboard composite endpoint with caching and invalidation,"As a maintenance manager, I want the dashboard to load quickly, so that I actually open it every morning.","- One composite endpoint returns KPIs, trend, Pareto, top machines and open counts.
- Results cached per plant with event-driven invalidation on record create, update and delete.
- Cache is in-process; no Redis is introduced, per the documented scope decision.
- Dashboard reproduces the reference fixture's expected numbers exactly.",EPIC-10,Deterministic Analytics & KPI Engine,P0,5,S7,R2,Domain,analytics performance,LS-101 LS-102,LS-226 LS-242
Story,LS-110,AgentRun and AgentStep persistence with a replayable trace schema,"As an engineer and as a customer, I want every agent run recorded step by step, so that 'why did it say that?' always has an answer.","- AgentRun stores tenant, plant, agent type, trigger, input, policy snapshot, status and totals.
- AgentStep is append-only and ordered, capturing type, tool name, arguments, result, model, tokens, latency, cost and errors.
- Large tool results are stored by reference rather than inline to bound row size.
- Steps cannot be modified or deleted; enforced at the database role level.
- A completed run's trace is retrievable in full through one API call.",EPIC-11,Agent Runtime & Tool Platform,P0,8,S7,R2,AI-Platform,agent core,LS-012 LS-060,LS-111 LS-112 LS-118 LS-119 LS-190 LS-200 LS-203 LS-206
Story,LS-111,"Plan, act, observe, critique loop executor","As the system, I need a controlled agent loop, so that multi-step investigation is possible without unbounded cost or runaway behaviour.","- Executor drives plan, tool call, observe and critique steps until an answer is ready or the budget is exhausted.
- Tool results are summarised before re-entering context; full results go only to the trace.
- The critique step is capped so the agent cannot loop indefinitely on self-doubt.
- An invalid plan is rejected before execution and triggers at most one replan.
- Every step is persisted as it happens, so a crashed run still has a partial trace.",EPIC-11,Agent Runtime & Tool Platform,P0,8,S7,R2,AI-Platform,agent core,LS-110 LS-112,LS-114 LS-116 LS-119 LS-122 LS-157 LS-160
Story,LS-112,Typed tool registry with JSON schemas and argument validation,"As a security reviewer, I want the model's tool access constrained by code, so that a bad plan or an injection cannot reach anything unlisted.","- Each tool declares a name, argument JSON schema, allowed roles, access class and result limits.
- Arguments are validated against the schema before execution; a violation is a step error, never a call.
- No tool executes free-form SQL, and an ArchUnit rule enforces it.
- Access class is READ or PROPOSE only; a DIRECT_WRITE tool fails a registry unit test.",EPIC-11,Agent Runtime & Tool Platform,P0,5,S7,R2,AI-Platform,agent tools,LS-110,LS-111 LS-113 LS-121 LS-134
Story,LS-113,"Tool scoping by tenant, plant and role","As a customer, I want an agent to be able to reach only what the requesting user can reach, so that agency never becomes privilege escalation.","- Every tool execution carries the caller's tenant, plant and role, applied at the repository layer.
- A tool call naming an out-of-scope plant returns 404 and raises a security event.
- An agent invoked by a VIEWER cannot reach PROPOSE-class tools.
- Covered by the cross-tenant test suite from LS-021.",EPIC-11,Agent Runtime & Tool Platform,P0,5,S7,R2,AI-Platform,agent security,LS-112 LS-024,
Story,LS-114,"Run budgets for steps, tokens, cost and wall-clock time","As the business, I want a hard ceiling on every agent run, so that one pathological question cannot cost a day's margin.","- Budget covers maximum steps, tokens, cost in INR and a wall-clock deadline, defaulted per agent type.
- Budgets are overridable per tenant and captured in the run's policy snapshot.
- Exceeding a limit ends the run as BUDGET_EXCEEDED and returns a partial, clearly labelled answer.
- Budget exhaustion emits a metric and is visible in the trace; it is never a silent truncation.",EPIC-11,Agent Runtime & Tool Platform,P0,5,S7,R2,AI-Platform,agent cost,LS-111,LS-117 LS-202
Story,LS-115,Model router with task tiers and a fallback chain,"As the business, I want each task on the cheapest model that does it well, so that quality and cost are both deliberate choices.","- Three tiers — fast, balanced and deep — mapped to task types by configuration, not by hard-coded model ids.
- A fallback chain handles provider overload or unavailability without failing the run.
- The model actually used is recorded per step for cost attribution and debugging.
- Tier assignment is changeable per tenant, for example capping the deep tier for a small plant.",EPIC-11,Agent Runtime & Tool Platform,P0,5,S7,R2,AI-Platform,agent cost llm,LS-060,
Story,LS-190,Proposal entity as the universal agent write envelope,"As a customer, I want every agent-initiated change to arrive as a proposal, so that agency never becomes unsupervised authority.","- Proposal stores type, payload, evidence, confidence, risk, status, proposing run and deciding user.
- Status lifecycle DRAFT, PENDING, APPROVED, REJECTED, APPLIED, REVERTED with enforced transitions.
- Every proposal links to the agent run and trace that produced it.
- No code path writes agent-originated data outside this envelope; enforced by an ArchUnit rule.",EPIC-19,Proposal & Approval Inbox,P0,5,S7,R2,Product,governance differentiator,LS-016 LS-110,LS-065 LS-076 LS-117 LS-160 LS-191
Story,LS-242,"Plant dashboard with KPIs, charts and insight cards","As a maintenance manager, I want one screen showing my plant's health, so that my morning check takes two minutes.","- Renders KPIs, trend chart, failure Pareto, top machines and open counts from the composite endpoint.
- Insight cards display detected patterns with their trust labels.
- Loading, empty and error states are designed rather than default.
- Numbers match the API exactly; the frontend performs no arithmetic of its own.",EPIC-24,Frontend Product Application,P0,8,S7,R2,Frontend,dashboard,LS-241 LS-106,LS-249
Story,LS-243,Machine master and machine detail with timeline and View Source,"As an engineer, I want a machine's full story on one page, so that investigating a breakdown starts with context.","- Machine list with search, filters and pagination.
- Detail page shows statistics, failure Pareto, parts consumed and a chronological timeline.
- Every timeline entry opens a source drawer with the original raw text, file, sheet and row.
- Raw source text is never translated, even when the UI language is Hindi or Marathi.",EPIC-24,Frontend Product Application,P0,8,S7,R2,Frontend,machines,LS-241 LS-044,LS-249
Story,LS-117,Per-tenant agent policy and autonomy level,"As a plant IT head, I want to control what agents may do in my tenant, so that I can start conservative and expand as trust grows.","- Policy sets, per tenant and agent: enabled state, autonomy level L0 to L3, budgets and model tier.
- L4 (external system writes) is not representable in the model at all.
- The active policy is snapshotted into every run for retrospective auditability.
- Policy changes are audited and take effect without a deployment.",EPIC-11,Agent Runtime & Tool Platform,P0,5,S8,R2,AI-Platform,agent governance,LS-114 LS-190,LS-193
Story,LS-120,Query understanding: intent and entity extraction over a closed taxonomy,"As a user asking in Hinglish, I want my question understood correctly, so that the right tools run against the right machine and date range.","- Intent classified into the closed set including ROOT_CAUSE_INVESTIGATION and OUT_OF_SCOPE.
- Entities extracted: machine text, part, failure mode, line, date range and language.
- Relative dates such as 'pichle 2 saal' and 'is saal' resolve against the plant's timezone.
- Output is JSON-schema constrained; an unparseable result triggers one retry then a clarifying question.
- Out-of-scope questions produce a polite refusal that lists actual capabilities.",EPIC-12,Reliability Copilot,P0,5,S8,R2,AI,assistant,LS-060 LS-070,LS-125 LS-136
Story,LS-121,Read-only assistant tool suite,"As the Copilot, I need deterministic tools, so that every number I report was computed rather than generated.","- Tools registered: resolve_machine, machine_stats, stat_query, search_records, part_usage, top_machines, pattern_lookup, record_history.
- Every tool is READ access class, plant-scoped and argument-validated with server-side clamping.
- Each tool returns coverage metadata alongside its values.
- Tool outputs are captured in the run trace for verification and citation.",EPIC-12,Reliability Copilot,P0,8,S8,R2,AI,assistant tools,LS-112 LS-100 LS-092,LS-122 LS-130 LS-134
Story,LS-122,Multi-step investigation planner with replanning,"As an engineer asking why something keeps failing, I want the system to actually investigate, so that I get an analysis rather than a search result.","- The planner chooses the next tool based on prior observations rather than a fixed chain.
- A ROOT_CAUSE_INVESTIGATION intent gets a larger step and token budget than a simple lookup.
- The benchmark investigation chains at least four dependent tool calls and reaches a cited conclusion.
- Simple factual questions still resolve in one or two steps — the planner does not over-investigate.
- Agentic evaluation suite success rate meets the threshold in LS-145.",EPIC-12,Reliability Copilot,P0,8,S8,R2,AI,assistant agent,LS-111 LS-121,LS-123 LS-127
